# from H. Marshall email 27 April 2007
#
#Optical depths as of 2002.69
#     Energy      Carbon       Oxygen       Fluorine     Fluffium
#                   0.02         0.20        0.10         0.20
     0.220000     0.158993    0.0526178    0.0624534     0.102331
     0.229790     0.142017    0.0465281    0.0563391    0.0951171
     0.239580     0.126517    0.0413865    0.0509746    0.0884849
     0.249369     0.112309    0.0374776    0.0462234    0.0823674
     0.259159    0.0996821    0.0341153    0.0421108    0.0771172
     0.268949    0.0880954    0.0311477    0.0384878    0.0718669
     0.278739    0.0774523    0.0285124    0.0352609    0.0666166
     0.288529      2.78052    0.0261466    0.0323930    0.0670209
     0.298318      2.27863    0.0240433    0.0298325    0.0719025
     0.308108      1.88035    0.0221800    0.0274534    0.0767455
     0.317898      1.61010    0.0205123    0.0253230    0.0813819
     0.327688      1.43731    0.0190119    0.0234134    0.0856494
     0.337477      1.32644    0.0176614    0.0216991    0.0897620
     0.347267      1.25141    0.0164383    0.0201532    0.0936354
     0.357057      1.19223    0.0153298    0.0187576    0.0973073
     0.366847      1.13890    0.0143293    0.0174912     0.100802
     0.376637      1.08764    0.0134178    0.0163402     0.104142
     0.386426      1.03500    0.0125841    0.0152667     0.107275
     0.396216     0.981098    0.0118087    0.0142218     0.110388
     0.406006     0.927852    0.0110911    0.0132476     0.113174
     0.415796     0.877844    0.0104279    0.0123629     0.115961
     0.425586     0.829878   0.00982858    0.0115538     0.118623
     0.435375     0.784069   0.00927581    0.0108124     0.121082
     0.445165     0.742344   0.00876307    0.0101319     0.123540
     0.454955     0.702799   0.00828650   0.00951265     0.125906
     0.464745     0.665536   0.00784220   0.00895428     0.128072
     0.474535     0.631555   0.00744083   0.00844187     0.130237
     0.484324     0.599847   0.00706471   0.00796516     0.130014
     0.494114     0.569276   0.00670631   0.00752063     0.129721
     0.503904     0.541594   0.00638435   0.00710844     0.129283
     0.513694     0.515557   0.00607835   0.00673318     0.128609
     0.523483     0.490803   0.00578828   0.00638091     0.127934
     0.533273     0.468434    0.0375602   0.00605033     0.127260
     0.543063     0.447174     0.159283   0.00574347     0.126586
     0.552853     0.427033     0.118031   0.00545760     0.125911
     0.562643     0.408715     0.108121   0.00517957     0.125237
     0.572432     0.390980    0.0923191   0.00492518     0.124562
     0.582222     0.374688    0.0880885   0.00468702     0.123888
     0.592012     0.359178    0.0829285   0.00446089     0.122832
     0.601802     0.344496    0.0797913   0.00425151     0.121737
     0.611592     0.330856    0.0767159   0.00404856     0.120643
     0.621381     0.317600    0.0738889   0.00384899     0.119513
     0.631171     0.305569    0.0710740   0.00365057     0.118231
     0.640961     0.293678    0.0684438   0.00346972     0.116950
     0.650751     0.282881    0.0658136   0.00329872     0.115668
     0.660541     0.272243    0.0632841   0.00313703     0.114386
     0.670330     0.262495    0.0608943   0.00298718     0.113104
     0.680120     0.253312    0.0588047   0.00284507     0.111822
     0.689910     0.244688    0.0568708    0.0884040     0.110540
     0.699700     0.236449    0.0550734    0.0829077     0.109284
     0.709489     0.228398    0.0532760    0.0769996     0.108040
     0.719279     0.220347    0.0514785    0.0710823     0.106797
     0.729069     0.212296    0.0497869    0.0652565     0.105553
     0.738859     0.204808    0.0481453    0.0597239     0.104309
     0.748649     0.197563    0.0465779    0.0546131     0.103065
     0.758438     0.190705    0.0450958    0.0499654     0.101431
     0.768228     0.184173    0.0436281    0.0457971    0.0997481
     0.778018     0.177880    0.0422721    0.0420767    0.0980655
