# email forwarded by Jeremy 17 Oct 2007, originally sent to him
# by H Marshall 03 May 2007
#
# multiplicative factors to the optical depths in transmission.txt
# as a function of time
#
#---- time dependence ----
#       time           C            O             F            Fluff
#    (s from 1998.0)
        31557600.      0.00000      0.00000      0.00000      0.00000
        51123158.      0.00000      0.00000      0.00000      0.00000
        52702579.   0.00743665   0.00838303   0.00691625   0.00755296
        53962263.    0.0322938    0.0364035    0.0300340    0.0327989
        55225800.    0.0565873    0.0637886    0.0526274    0.0574724
        56489337.    0.0804002    0.0906319    0.0747740    0.0816578
        57749021.     0.103810     0.117021    0.0965455     0.105434
        59328442.     0.126689     0.142811     0.117823     0.128670
        60591979.     0.149115     0.168091     0.138680     0.151447
        61851663.     0.171162     0.192944     0.159184     0.173839
        63115200.     0.192708     0.217232     0.179223     0.195722
        65638421.     0.234591     0.264445     0.218175     0.238261
        66901958.     0.254883     0.287320     0.237047     0.258870
        68481379.     0.274774     0.309741     0.255546     0.279072
        71004600.     0.313438     0.353326     0.291504     0.318340
        73527821.     0.350585     0.395201     0.326052     0.356069
        75107242.     0.368583     0.415489     0.342790     0.374348
        78894000.     0.420516     0.474031     0.391090     0.427094
        82680758.     0.469426     0.529165     0.436577     0.476768
        84260179.     0.485073     0.546803     0.451129     0.492660
        88046937.     0.530223     0.597699     0.493120     0.538517
        89306621.     0.544709     0.614029     0.506592     0.553229
        90886042.     0.558867     0.629988     0.519759     0.567608
        95936337.     0.612790     0.690773     0.569908     0.622374
        98459558.     0.638195     0.719411     0.593535     0.648177
    1.0003898e+08     0.650503     0.733286     0.604983     0.660678
    1.0508542e+08     0.697416     0.786169     0.648612     0.708324
    1.0666484e+08     0.708553     0.798723     0.658970     0.719635
    1.1297482e+08     0.761078     0.857933     0.707819     0.772982
    1.1423836e+08     0.770956     0.869067     0.717006     0.783014
    1.1581778e+08     0.780638     0.879982     0.726011     0.792848
    1.2086422e+08     0.817541     0.921582     0.760332     0.830329
    1.2244364e+08     0.826302     0.931457     0.768480     0.839226
    1.3001716e+08     0.875391     0.986793     0.814133     0.889083
    1.3285626e+08     0.890495      1.00382     0.828180     0.904423
    1.3664302e+08     0.912037      1.02810     0.848215     0.926302
    1.4074566e+08     0.932325      1.05097     0.867083     0.946908
    1.4579596e+08     0.957544      1.07940     0.890538     0.972521
    1.5242182e+08     0.986372      1.11190     0.917348      1.00180
    1.6157476e+08      1.02217      1.15225     0.950641      1.03816
    1.7356680e+08      1.06142      1.19649     0.987142      1.07802
    1.8397942e+08      1.09085      1.22967      1.01451      1.10791
    1.9849854e+08      1.12433      1.26741      1.04565      1.14192
    2.1553702e+08      1.15549      1.30254      1.07464      1.17357
    2.3415878e+08      1.18112      1.33143      1.09847      1.19959
    2.5624756e+08      1.20398      1.35720      1.11973      1.22281
    2.8401840e+08      1.22334      1.37903      1.13774      1.24248
